                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5307,                 1.6002,                 1.3403,                 0.6238,                 0.4349,                0.45306,                0.21622,                 1.6905,                 1.5973,                 1.5112,             0.00066597,             0.00066597,             0.00066597
                      2,                 1.5824,                 1.4611,                 1.3996,                0.66417,                0.41316,                0.44492,                0.21384,                 1.7845,                 1.5493,                  1.577,              0.0012007,              0.0012007,              0.0012007
                      3,                 1.5475,                 1.4154,                 1.3888,                0.67206,                0.44334,                0.48599,                0.25112,                 1.6336,                 1.3959,                 1.4474,              0.0016034,              0.0016034,              0.0016034
                      4,                 1.4875,                 1.3369,                 1.3533,                0.71321,                0.47158,                0.54464,                0.28421,                  1.559,                 1.2648,                 1.4176,               0.001406,               0.001406,               0.001406
                      5,                 1.4437,                 1.2785,                 1.3277,                0.70597,                 0.4803,                0.54292,                0.28019,                 1.5393,                 1.2166,                 1.3869,               0.001406,               0.001406,               0.001406
                      6,                 1.3867,                 1.1965,                 1.2926,                 0.7093,                0.50788,                0.56886,                0.30615,                 1.4803,                 1.1491,                 1.3543,               0.001208,               0.001208,               0.001208
                      7,                 1.3461,                 1.1526,                 1.2683,                0.72193,                0.52205,                0.58573,                0.32054,                 1.4409,                 1.0874,                 1.3223,                0.00101,                0.00101,                0.00101
                      8,                 1.2989,                 1.0932,                 1.2403,                0.72584,                0.52345,                0.59586,                 0.3334,                 1.3999,                 1.0276,                 1.2897,               0.000812,               0.000812,               0.000812
                      9,                 1.2577,                 1.0483,                 1.2166,                0.74534,                0.55197,                0.63244,                0.35508,                 1.3679,                0.98221,                  1.271,               0.000614,               0.000614,               0.000614
                     10,                 1.2217,                 1.0013,                 1.1967,                0.74227,                0.56332,                0.63712,                0.36069,                 1.3414,                0.97167,                 1.2552,               0.000416,               0.000416,               0.000416
